05/16/13 08:15:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
dm-5              0.00     0.00    0.48    0.04     3.86     0.30     8.00     0.00    0.67   0.07   0.00
dm-6              0.00     0.00    0.01    0.00     0.05     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.02     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    2.81     1.25    22.47     8.41     0.01    2.94   0.23   0.07
dm-9              0.00     0.00   15.34   22.26  1311.84   848.08    57.45     0.01    0.37   0.28   1.06
dm-1              0.00     0.00    0.07    0.00     0.55     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.07    0.00     0.55     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 10:10:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   16.10   20.30  1316.06   866.38    59.97     0.01    0.33   0.30   1.08
dm-0              0.01     4.69   15.73   20.30  1313.05   866.38    60.50     0.01    0.35   0.31   1.13
dm-3              0.00     0.00    0.13    0.00     3.27     0.00    24.99     0.00    0.17   0.13   0.00
dm-4              0.00     0.00   15.37   24.98  1307.89   866.38    53.88     0.02    0.54   0.28   1.11
dm-5              0.00     0.00    0.48    0.04     3.84     0.30     8.00     0.00    0.67   0.07   0.00
dm-6              0.00     0.00    0.01    0.00     0.05     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.02     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    2.81     1.24    22.49     8.41     0.01    2.94   0.23   0.07
dm-9              0.00     0.00   15.27   22.17  1305.86   843.89    57.43     0.01    0.37   0.28   1.05
dm-1              0.00     0.00    0.07    0.00     0.55     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.07    0.00     0.55     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 10:15:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   16.02   20.22  1310.10   862.32    59.94     0.01    0.33   0.30   1.08
dm-0              0.01     4.68   15.65   20.22  1307.08   862.32    60.48     0.01    0.35   0.32   1.13
dm-3              0.00     0.00    0.13    0.00     3.26     0.00    24.93     0.00    0.17   0.13   0.00
dm-4              0.00     0.00   15.30   24.90  1301.94   862.32    53.84     0.02    0.55   0.28   1.11
dm-5              0.00     0.00    0.48    0.04     3.81     0.30     8.00     0.00    0.67   0.07   0.00
dm-6              0.00     0.00    0.01    0.00     0.05     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.02     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    2.81     1.23    22.50     8.40     0.01    2.94   0.23   0.07
dm-9              0.00     0.00   15.19   22.09  1299.92   839.81    57.40     0.01    0.37   0.28   1.05
dm-1              0.00     0.00    0.07    0.00     0.55     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.07    0.00     0.55     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 10:20:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   15.94   20.15  1303.71   858.31    59.90     0.01    0.33   0.30   1.08
dm-0              0.01     4.67   15.57   20.15  1300.70   858.31    60.44     0.01    0.35   0.32   1.13
dm-3              0.00     0.00    0.13    0.00     3.24     0.00    24.87     0.00    0.17   0.13   0.00
dm-4              0.00     0.00   15.22   24.83  1295.58   858.31    53.79     0.02    0.55   0.28   1.10
dm-5              0.00     0.00    0.47    0.04     3.79     0.30     8.00     0.00    0.67   0.07   0.00
dm-6              0.00     0.00    0.01    0.00     0.05     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.02     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    2.82     1.23    22.53     8.40     0.01    2.95   0.23   0.07
dm-9              0.00     0.00   15.11   22.01  1293.56   835.78    57.36     0.01    0.37   0.28   1.05
dm-1              0.00     0.00    0.07    0.00     0.55     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.07    0.00     0.55     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 10:25:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   15.86   20.08  1297.92   854.31    59.88     0.01    0.33   0.30   1.07
dm-0              0.01     4.67   15.49   20.08  1294.91   854.31    60.42     0.01    0.35   0.32   1.12
dm-3              0.00     0.00    0.13    0.00     3.22     0.00    24.80     0.00    0.17   0.13   0.00
dm-4              0.00     0.00   15.14   24.75  1289.80   854.31    53.75     0.02    0.55   0.28   1.10
dm-5              0.00     0.00    0.47    0.04     3.77     0.30     8.00     0.00    0.67   0.07   0.00
dm-6              0.00     0.00    0.01    0.00     0.05     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.02     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    2.82     1.22    22.54     8.40     0.01    2.95   0.23   0.07
dm-9              0.00     0.00   15.04   21.93  1287.80   831.76    57.34     0.01    0.37   0.28   1.04
dm-1              0.00     0.00    0.07    0.00     0.55     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.07    0.00     0.55     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 10:30:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   15.80   20.01  1292.89   850.38    59.86     0.01    0.33   0.30   1.07
dm-0              0.01     4.67   15.43   20.01  1289.88   850.38    60.40     0.01    0.35   0.32   1.12
dm-3              0.00     0.00    0.13    0.00     3.21     0.00    24.74     0.00    0.17   0.13   0.00
dm-4              0.00     0.00   15.07   24.67  1284.80   850.38    53.72     0.02    0.55   0.28   1.10
dm-5              0.00     0.00    0.47    0.04     3.75     0.30     8.00     0.00    0.67   0.07   0.00
dm-6              0.00     0.00    0.01    0.00     0.05     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.02     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    2.82     1.22    22.59     8.40     0.01    2.95   0.23   0.07
dm-9              0.00     0.00   14.97   21.85  1282.79   827.78    57.33     0.01    0.37   0.28   1.04
dm-1              0.00     0.00    0.07    0.00     0.55     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.07    0.00     0.55     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 10:35:03 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   15.72   19.93  1287.25   846.49    59.84     0.01    0.33   0.30   1.07
dm-0              0.01     4.66   15.35   19.93  1284.24   846.49    60.38     0.01    0.35   0.32   1.12
dm-3              0.00     0.00    0.13    0.00     3.19     0.00    24.68     0.00    0.17   0.13   0.00
dm-4              0.00     0.00   15.00   24.59  1279.17   846.49    53.68     0.02    0.55   0.28   1.09
dm-5              0.00     0.00    0.47    0.04     3.73     0.30     8.00     0.00    0.67   0.07   0.00
dm-6              0.00     0.00    0.01    0.00     0.05     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.02     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    2.83     1.21    22.61     8.39     0.01    2.95   0.23   0.07
dm-9              0.00     0.00   14.90   21.77  1277.18   823.87    57.31     0.01    0.37   0.28   1.04
dm-1              0.00     0.00    0.07    0.00     0.55     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.07    0.00     0.55     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 10:40:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   15.65   19.86  1281.12   842.65    59.81     0.01    0.33   0.30   1.06
dm-0              0.01     4.66   15.28   19.86  1278.11   842.65    60.35     0.01    0.35   0.32   1.11
dm-3              0.00     0.00    0.13    0.00     3.17     0.00    24.62     0.00    0.17   0.13   0.00
dm-4              0.00     0.00   14.93   24.52  1273.06   842.65    53.63     0.02    0.55   0.28   1.09
dm-5              0.00     0.00    0.46    0.04     3.71     0.30     8.00     0.00    0.66   0.07   0.00
dm-6              0.00     0.00    0.01    0.00     0.05     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.02     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    2.83     1.20    22.63     8.39     0.01    2.95   0.23   0.07
dm-9              0.00     0.00   14.82   21.69  1271.07   820.02    57.27     0.01    0.37   0.28   1.03
dm-1              0.00     0.00    0.07    0.00     0.55     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.07    0.00     0.55     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 10:45:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   15.57   19.79  1275.10   838.83    59.77     0.01    0.33   0.30   1.06
dm-0              0.01     4.65   15.20   19.79  1272.09   838.83    60.32     0.01    0.35   0.32   1.11
dm-3              0.00     0.00    0.13    0.00     3.16     0.00    24.56     0.00    0.17   0.13   0.00
dm-4              0.00     0.00   14.85   24.44  1267.06   838.83    53.59     0.02    0.55   0.28   1.09
dm-5              0.00     0.00    0.46    0.04     3.69     0.30     8.00     0.00    0.66   0.07   0.00
dm-6              0.00     0.00    0.01    0.00     0.04     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.02     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    2.83     1.20    22.65     8.39     0.01    2.95   0.23   0.07
dm-9              0.00     0.00   14.75   21.61  1265.08   816.18    57.24     0.01    0.37   0.28   1.03
dm-1              0.00     0.00    0.07    0.00     0.55     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.07    0.00     0.55     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 10:50:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   15.50   19.72  1269.17   835.02    59.74     0.01    0.33   0.30   1.06
dm-0              0.01     4.64   15.13   19.72  1266.16   835.02    60.29     0.01    0.35   0.32   1.11
dm-3              0.00     0.00    0.13    0.00     3.14     0.00    24.50     0.00    0.17   0.13   0.00
dm-4              0.00     0.00   14.78   24.37  1261.14   835.02    53.55     0.02    0.55   0.28   1.08
dm-5              0.00     0.00    0.46    0.04     3.68     0.30     8.00     0.00    0.66   0.07   0.00
dm-6              0.00     0.00    0.01    0.00     0.04     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.02     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    2.83     1.19    22.67     8.39     0.01    2.95   0.23   0.07
dm-9              0.00     0.00   14.67   21.53  1259.17   812.35    57.21     0.01    0.37   0.28   1.03
dm-1              0.00     0.00    0.07    0.00     0.55     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.07    0.00     0.55     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 10:55:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   15.42   19.65  1263.33   831.20    59.72     0.01    0.33   0.30   1.05
dm-0              0.01     4.64   15.05   19.65  1260.33   831.20    60.26     0.01    0.35   0.32   1.10
dm-3              0.00     0.00    0.13    0.00     3.13     0.00    24.44     0.00    0.17   0.13   0.00
dm-4              0.00     0.00   14.71   24.29  1255.33   831.20    53.51     0.02    0.56   0.28   1.08
dm-5              0.00     0.00    0.46    0.04     3.66     0.30     8.00     0.00    0.66   0.07   0.00
dm-6              0.00     0.00    0.01    0.00     0.04     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.02     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    2.84     1.18    22.68     8.38     0.01    2.95   0.23   0.07
dm-9              0.00     0.00   14.60   21.45  1253.36   808.51    57.19     0.01    0.37   0.28   1.02
dm-1              0.00     0.00    0.07    0.00     0.55     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.07    0.00     0.55     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 11:00:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   15.35   19.58  1257.74   827.43    59.69     0.01    0.33   0.30   1.05
dm-0              0.01     4.63   14.98   19.58  1254.73   827.43    60.24     0.01    0.36   0.32   1.10
dm-3              0.00     0.00    0.13    0.00     3.11     0.00    24.38     0.00    0.17   0.13   0.00
dm-4              0.00     0.00   14.63   24.21  1249.75   827.43    53.47     0.02    0.56   0.28   1.08
dm-5              0.00     0.00    0.45    0.04     3.64     0.30     8.00     0.00    0.66   0.07   0.00
dm-6              0.00     0.00    0.01    0.00     0.04     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.02     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    2.84     1.18    22.70     8.38     0.01    2.95   0.23   0.07
dm-9              0.00     0.00   14.53   21.37  1247.79   804.72    57.17     0.01    0.37   0.28   1.02
dm-1              0.00     0.00    0.07    0.00     0.55     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.07    0.00     0.55     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 11:05:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   15.28   19.51  1251.87   823.68    59.67     0.01    0.33   0.30   1.04
dm-0              0.01     4.63   14.91   19.51  1248.87   823.68    60.22     0.01    0.36   0.32   1.09
dm-3              0.00     0.00    0.13    0.00     3.10     0.00    24.32     0.00    0.17   0.13   0.00
dm-4              0.00     0.00   14.56   24.14  1243.90   823.68    53.43     0.02    0.56   0.28   1.07
dm-5              0.00     0.00    0.45    0.04     3.62     0.30     8.00     0.00    0.66   0.07   0.00
dm-6              0.00     0.00    0.01    0.00     0.04     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.00    0.00     0.02     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    2.84     1.17    22.75     8.38     0.01    2.95   0.23   0.07
dm-9              0.00     0.00   14.46   21.29  1241.95   800.94    57.14     0.01    0.37   0.28   1.01
dm-1              0.00     0.00    0.07    0.00     0.55     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.07    0.00     0.55     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 11:10:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   15.21   19.43  1246.20   819.96    59.64     0.01    0.33   0.30   1.04
dm-0              0.01     4.63   14.84   19.43  1243.20   819.96    60.19     0.01    0.36   0.32   1.09
dm-3              0.00     0.00    0.13    0.00     3.08     0.00    24.26     0.00    0.17   0.13   0.00
dm-4              0.00     0.00   14.49   24.06  1238.25   819.96    53.39     0.02    0.56   0.28   1.07
dm-5              0.00     0.00    0.45    0.04     3.60     0.30     8.00     0.00    0.66   0.07   0.00
dm-6              0.00     0.00    0.01    0.00     0.04     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.00    0.00     0.02     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    2.85     1.17    22.76     8.38     0.01    2.96   0.23   0.07
dm-9              0.00     0.00   14.39   21.21  1236.30   797.19    57.12     0.01    0.37   0.28   1.01
dm-1              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 11:15:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   15.14   19.36  1240.48   816.28    59.61     0.01    0.33   0.30   1.04
dm-0              0.01     4.62   14.77   19.36  1237.48   816.28    60.17     0.01    0.36   0.32   1.09
dm-3              0.00     0.00    0.13    0.00     3.07     0.00    24.21     0.00    0.17   0.13   0.00
dm-4              0.00     0.00   14.42   23.98  1232.55   816.28    53.35     0.02    0.56   0.28   1.06
dm-5              0.00     0.00    0.45    0.04     3.58     0.30     8.00     0.00    0.66   0.07   0.00
dm-6              0.00     0.00    0.01    0.00     0.04     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.00    0.00     0.02     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    2.85     1.16    22.78     8.37     0.01    2.96   0.23   0.07
dm-9              0.00     0.00   14.32   21.13  1230.60   793.49    57.10     0.01    0.37   0.28   1.01
dm-1              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 11:20:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   15.07   19.30  1234.80   812.65    59.58     0.01    0.33   0.30   1.03
dm-0              0.01     4.61   14.70   19.30  1231.80   812.65    60.14     0.01    0.36   0.32   1.08
dm-3              0.00     0.00    0.13    0.00     3.05     0.00    24.15     0.00    0.17   0.13   0.00
dm-4              0.00     0.00   14.35   23.91  1226.88   812.65    53.31     0.02    0.56   0.28   1.06
dm-5              0.00     0.00    0.45    0.04     3.56     0.30     8.00     0.00    0.66   0.07   0.00
dm-6              0.00     0.00    0.01    0.00     0.04     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.00    0.00     0.02     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    2.85     1.15    22.80     8.37     0.01    2.96   0.23   0.07
dm-9              0.00     0.00   14.25   21.06  1224.95   789.85    57.07     0.01    0.37   0.28   1.00
dm-1              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 11:25:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   15.00   19.23  1229.17   809.05    59.56     0.01    0.33   0.30   1.03
dm-0              0.01     4.61   14.63   19.23  1226.17   809.05    60.12     0.01    0.36   0.32   1.08
dm-3              0.00     0.00    0.13    0.00     3.04     0.00    24.09     0.00    0.17   0.13   0.00
dm-4              0.00     0.00   14.28   23.84  1221.27   809.05    53.27     0.02    0.56   0.28   1.06
dm-5              0.00     0.00    0.44    0.04     3.55     0.30     8.00     0.00    0.66   0.07   0.00
dm-6              0.00     0.00    0.01    0.00     0.04     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.00    0.00     0.02     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    2.85     1.15    22.81     8.37     0.01    2.96   0.23   0.07
dm-9              0.00     0.00   14.18   20.98  1219.34   786.23    57.04     0.01    0.37   0.28   1.00
dm-1              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 11:30:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   14.93   19.16  1223.58   805.54    59.53     0.01    0.33   0.30   1.03
dm-0              0.01     4.61   14.56   19.16  1220.58   805.54    60.09     0.01    0.36   0.32   1.08
dm-3              0.00     0.00    0.13    0.00     3.02     0.00    24.03     0.00    0.17   0.13   0.00
dm-4              0.00     0.00   14.21   23.77  1215.69   805.54    53.22     0.02    0.57   0.28   1.05
dm-5              0.00     0.00    0.44    0.04     3.53     0.30     8.00     0.00    0.66   0.07   0.00
dm-6              0.00     0.00    0.01    0.00     0.04     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.00    0.00     0.02     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    2.86     1.14    22.86     8.37     0.01    2.98   0.23   0.07
dm-9              0.00     0.00   14.11   20.91  1213.77   782.68    57.01     0.01    0.37   0.28   1.00
dm-1              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 11:35:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   14.86   19.09  1218.16   802.03    59.50     0.01    0.34   0.30   1.02
dm-0              0.01     4.60   14.49   19.09  1215.16   802.03    60.06     0.01    0.36   0.32   1.07
dm-3              0.00     0.00    0.13    0.00     3.01     0.00    23.98     0.00    0.17   0.13   0.00
dm-4              0.00     0.00   14.14   23.70  1210.29   802.03    53.18     0.02    0.57   0.28   1.05
dm-5              0.00     0.00    0.44    0.04     3.51     0.30     8.00     0.00    0.66   0.07   0.00
dm-6              0.00     0.00    0.01    0.00     0.04     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.00    0.00     0.02     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    2.86     1.14    22.87     8.37     0.01    2.98   0.23   0.07
dm-9              0.00     0.00   14.04   20.84  1208.37   779.16    56.99     0.01    0.37   0.28   0.99
dm-1              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 11:40:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   14.79   19.03  1212.79   798.54    59.48     0.01    0.34   0.30   1.02
dm-0              0.01     4.60   14.42   19.03  1209.80   798.54    60.04     0.01    0.36   0.32   1.07
dm-3              0.00     0.00    0.13    0.00     3.00     0.00    23.95     0.00    0.17   0.13   0.00
dm-4              0.00     0.00   14.08   23.62  1204.95   798.54    53.14     0.02    0.57   0.28   1.05
dm-5              0.00     0.00    0.44    0.04     3.49     0.30     8.00     0.00    0.66   0.07   0.00
dm-6              0.00     0.00    0.01    0.00     0.04     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.00    0.00     0.02     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    2.86     1.13    22.88     8.36     0.01    2.97   0.23   0.07
dm-9              0.00     0.00   13.97   20.76  1203.04   775.65    56.96     0.01    0.37   0.28   0.99
dm-1              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 11:45:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   14.72   18.96  1207.39   795.08    59.45     0.01    0.34   0.30   1.02
dm-0              0.01     4.59   14.36   18.96  1204.40   795.08    60.01     0.01    0.36   0.32   1.07
dm-3              0.00     0.00    0.12    0.00     2.98     0.00    23.89     0.00    0.17   0.13   0.00
dm-4              0.00     0.00   14.01   23.55  1199.56   795.08    53.10     0.02    0.57   0.28   1.04
dm-5              0.00     0.00    0.43    0.04     3.48     0.29     8.00     0.00    0.66   0.07   0.00
dm-6              0.00     0.00    0.01    0.00     0.04     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.00    0.00     0.02     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    2.86     1.13    22.90     8.36     0.01    2.97   0.23   0.07
dm-9              0.00     0.00   13.91   20.69  1197.66   772.18    56.94     0.01    0.37   0.28   0.99
dm-1              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 11:50:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   14.66   18.90  1202.17   791.66    59.42     0.01    0.34   0.30   1.01
dm-0              0.01     4.59   14.29   18.90  1199.18   791.66    59.99     0.01    0.36   0.32   1.06
dm-3              0.00     0.00    0.12    0.00     2.97     0.00    23.83     0.00    0.17   0.13   0.00
dm-4              0.00     0.00   13.95   23.48  1194.36   791.66    53.06     0.02    0.57   0.28   1.04
dm-5              0.00     0.00    0.43    0.04     3.46     0.30     8.00     0.00    0.66   0.07   0.00
dm-6              0.00     0.00    0.01    0.00     0.04     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.00    0.00     0.02     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    2.86     1.12    22.92     8.36     0.01    2.97   0.23   0.07
dm-9              0.00     0.00   13.84   20.62  1192.46   768.74    56.91     0.01    0.37   0.29   0.98
dm-1              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 11:55:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   14.59   18.83  1196.95   788.30    59.40     0.01    0.34   0.30   1.01
dm-0              0.01     4.59   14.23   18.83  1193.97   788.30    59.96     0.01    0.36   0.32   1.06
dm-3              0.00     0.00    0.12    0.00     2.95     0.00    23.78     0.00    0.17   0.13   0.00
dm-4              0.00     0.00   13.88   23.42  1189.16   788.30    53.02     0.02    0.57   0.28   1.04
dm-5              0.00     0.00    0.43    0.04     3.44     0.29     8.00     0.00    0.66   0.07   0.00
dm-6              0.00     0.00    0.01    0.00     0.04     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.00    0.00     0.02     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    2.87     1.11    22.98     8.36     0.01    2.97   0.23   0.07
dm-9              0.00     0.00   13.78   20.54  1187.27   765.32    56.89     0.01    0.37   0.29   0.98
dm-1              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.12   0.12   0.00
