05/16/13 08:15:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
dm-5              0.00     0.00    3.18    0.07    25.45     0.58     8.00     0.00    0.71   0.07   0.02
dm-6              0.00     0.00    0.04    0.00     0.32     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.04    0.01     0.12     0.02     3.09     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.04    0.95     0.44     7.57     8.09     0.00    1.87   0.50   0.05
dm-9              0.00     0.00    0.38    0.22    98.92     1.41   166.39     0.00    1.19   0.58   0.03
dm-1              0.00     0.00    0.08    0.00     0.65     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.08    0.00     0.65     0.00     8.00     0.00    0.12   0.12   0.00

05/16/13 09:10:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00    2.00    0.65   129.02     8.98    52.19     0.00    0.51   0.32   0.09
dm-0              0.09     0.52    1.45    0.65   124.63     8.98    63.53     0.00    0.72   0.46   0.10
dm-3              0.00     0.00    0.49    0.00    20.49     0.00    41.76     0.00    0.20   0.14   0.01
dm-4              0.00     0.00    0.60    1.17   100.58     8.98    61.64     0.00    1.46   0.49   0.09
dm-5              0.00     0.00    3.07    0.07    24.54     0.57     8.00     0.00    0.71   0.07   0.02
dm-6              0.00     0.00    0.04    0.00     0.31     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.03    0.01     0.12     0.02     3.09     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.04    0.94     0.43     7.55     8.08     0.00    1.86   0.50   0.05
dm-9              0.00     0.00    0.38    0.22    98.81     1.41   166.75     0.00    1.20   0.59   0.04
dm-1              0.00     0.00    0.08    0.00     0.64     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.08    0.00     0.64     0.00     8.00     0.00    0.12   0.12   0.00

05/16/13 09:15:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00    1.96    0.65   128.29     8.97    52.56     0.00    0.52   0.33   0.09
dm-0              0.08     0.52    1.43    0.65   123.95     8.97    63.99     0.00    0.73   0.47   0.10
dm-3              0.00     0.00    0.48    0.00    19.79     0.00    41.57     0.00    0.20   0.14   0.01
dm-4              0.00     0.00    0.60    1.17   100.68     8.97    61.95     0.00    1.46   0.49   0.09
dm-5              0.00     0.00    2.96    0.07    23.70     0.56     8.00     0.00    0.71   0.07   0.02
dm-6              0.00     0.00    0.04    0.00     0.29     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.03    0.01     0.11     0.02     3.09     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.04    0.94     0.41     7.54     8.08     0.00    1.86   0.50   0.05
dm-9              0.00     0.00    0.38    0.22    98.94     1.41   167.20     0.00    1.21   0.59   0.04
dm-1              0.00     0.00    0.08    0.00     0.64     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.08    0.00     0.64     0.00     8.00     0.00    0.12   0.12   0.00

05/16/13 09:20:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00    1.93    0.65   127.61     8.95    52.95     0.00    0.52   0.33   0.09
dm-0              0.08     0.52    1.40    0.65   123.33     8.95    64.48     0.00    0.74   0.47   0.10
dm-3              0.00     0.00    0.46    0.00    19.14     0.00    41.38     0.00    0.20   0.14   0.01
dm-4              0.00     0.00    0.59    1.17   100.76     8.95    62.27     0.00    1.47   0.49   0.09
dm-5              0.00     0.00    2.86    0.07    22.91     0.55     8.00     0.00    0.71   0.07   0.02
dm-6              0.00     0.00    0.04    0.00     0.28     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.03    0.01     0.11     0.02     3.09     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.04    0.94     0.40     7.53     8.08     0.00    1.87   0.51   0.05
dm-9              0.00     0.00    0.38    0.22    99.06     1.41   167.69     0.00    1.21   0.59   0.04
dm-1              0.00     0.00    0.08    0.00     0.64     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.08    0.00     0.64     0.00     8.00     0.00    0.12   0.12   0.00

05/16/13 09:25:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00    1.90    0.65   126.76     8.93    53.23     0.00    0.53   0.33   0.08
dm-0              0.08     0.52    1.38    0.65   122.52     8.93    64.85     0.00    0.74   0.48   0.10
dm-3              0.00     0.00    0.45    0.00    18.53     0.00    41.20     0.00    0.20   0.14   0.01
dm-4              0.00     0.00    0.59    1.17   100.62     8.93    62.48     0.00    1.47   0.49   0.09
dm-5              0.00     0.00    2.77    0.07    22.18     0.54     8.00     0.00    0.71   0.07   0.02
dm-6              0.00     0.00    0.03    0.00     0.28     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.03    0.01     0.11     0.02     3.09     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.04    0.94     0.38     7.51     8.08     0.00    1.87   0.51   0.05
dm-9              0.00     0.00    0.38    0.22    98.95     1.41   167.89     0.00    1.22   0.60   0.04
dm-1              0.00     0.00    0.08    0.00     0.63     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.08    0.00     0.63     0.00     8.00     0.00    0.12   0.12   0.00

05/16/13 09:30:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00    1.88    0.65   126.17     8.92    53.56     0.00    0.53   0.34   0.09
dm-0              0.07     0.52    1.36    0.65   121.97     8.92    65.26     0.00    0.75   0.48   0.10
dm-3              0.00     0.00    0.44    0.00    17.95     0.00    41.01     0.00    0.20   0.14   0.01
dm-4              0.00     0.00    0.58    1.16   100.71     8.92    62.74     0.00    1.48   0.50   0.09
dm-5              0.00     0.00    2.69    0.07    21.49     0.53     8.00     0.00    0.71   0.07   0.02
dm-6              0.00     0.00    0.03    0.00     0.27     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.03    0.01     0.10     0.02     3.09     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.04    0.94     0.37     7.49     8.07     0.00    1.87   0.51   0.05
dm-9              0.00     0.00    0.38    0.22    99.07     1.41   168.27     0.00    1.22   0.60   0.04
dm-1              0.00     0.00    0.08    0.00     0.63     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.08    0.00     0.63     0.00     8.00     0.00    0.12   0.12   0.00

05/16/13 09:35:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00    1.85    0.64   125.62     8.89    53.92     0.00    0.54   0.34   0.09
dm-0              0.07     0.52    1.34    0.64   121.46     8.89    65.72     0.00    0.76   0.49   0.10
dm-3              0.00     0.00    0.43    0.00    17.42     0.00    40.83     0.00    0.20   0.14   0.01
dm-4              0.00     0.00    0.58    1.16   100.78     8.89    63.07     0.00    1.49   0.50   0.09
dm-5              0.00     0.00    2.60    0.07    20.84     0.52     8.00     0.00    0.70   0.07   0.02
dm-6              0.00     0.00    0.03    0.00     0.26     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.03    0.01     0.10     0.02     3.09     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.04    0.93     0.36     7.47     8.07     0.00    1.89   0.51   0.05
dm-9              0.00     0.00    0.38    0.22    99.17     1.41   168.68     0.00    1.22   0.60   0.04
dm-1              0.00     0.00    0.08    0.00     0.63     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.08    0.00     0.63     0.00     8.00     0.00    0.12   0.12   0.00

05/16/13 09:40:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00    1.83    0.64   124.89     8.87    54.17     0.00    0.55   0.34   0.08
dm-0              0.07     0.52    1.32    0.64   120.78     8.87    66.04     0.00    0.77   0.49   0.10
dm-3              0.00     0.00    0.42    0.00    16.91     0.00    40.65     0.00    0.20   0.14   0.01
dm-4              0.00     0.00    0.57    1.16   100.66     8.87    63.26     0.00    1.49   0.50   0.09
dm-5              0.00     0.00    2.53    0.06    20.23     0.51     8.00     0.00    0.70   0.07   0.02
dm-6              0.00     0.00    0.03    0.00     0.25     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.03    0.01     0.10     0.02     3.09     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.04    0.93     0.35     7.45     8.07     0.00    1.89   0.51   0.05
dm-9              0.00     0.00    0.38    0.22    99.07     1.41   168.84     0.00    1.24   0.61   0.04
dm-1              0.00     0.00    0.08    0.00     0.62     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.08    0.00     0.62     0.00     8.00     0.00    0.12   0.12   0.00

05/16/13 09:45:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00    1.80    0.64   124.41     8.86    54.48     0.00    0.55   0.35   0.08
dm-0              0.07     0.51    1.30    0.64   120.33     8.86    66.44     0.00    0.77   0.50   0.10
dm-3              0.00     0.00    0.41    0.00    16.43     0.00    40.47     0.00    0.20   0.14   0.01
dm-4              0.00     0.00    0.57    1.16   100.73     8.86    63.52     0.00    1.50   0.50   0.09
dm-5              0.00     0.00    2.46    0.06    19.65     0.50     8.00     0.00    0.70   0.07   0.02
dm-6              0.00     0.00    0.03    0.00     0.24     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.03    0.01     0.09     0.02     3.09     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.03    0.93     0.34     7.43     8.07     0.00    1.90   0.51   0.05
dm-9              0.00     0.00    0.38    0.22    99.17     1.41   169.16     0.00    1.24   0.61   0.04
dm-1              0.00     0.00    0.08    0.00     0.62     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.08    0.00     0.62     0.00     8.00     0.00    0.12   0.12   0.00

05/16/13 09:50:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00    1.78    0.64   123.95     8.85    54.78     0.00    0.55   0.35   0.08
dm-0              0.07     0.51    1.29    0.64   119.91     8.85    66.81     0.00    0.77   0.50   0.10
dm-3              0.00     0.00    0.40    0.00    15.98     0.00    40.29     0.00    0.20   0.14   0.01
dm-4              0.00     0.00    0.57    1.15   100.80     8.85    63.75     0.00    1.51   0.50   0.09
dm-5              0.00     0.00    2.39    0.06    19.11     0.50     8.00     0.00    0.70   0.07   0.02
dm-6              0.00     0.00    0.03    0.00     0.24     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.03    0.01     0.09     0.02     3.09     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.03    0.93     0.33     7.42     8.07     0.00    1.91   0.51   0.05
dm-9              0.00     0.00    0.38    0.22    99.27     1.41   169.51     0.00    1.24   0.61   0.04
dm-1              0.00     0.00    0.08    0.00     0.62     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.08    0.00     0.62     0.00     8.00     0.00    0.12   0.12   0.00

